Position,Team,Points
1,Germany,1533
2,Brazil,1384
3,Belgium,1346
4,Portugal,1306
5,Argentina,1254
6,Switzerland,1179
7,France,1166
8,Spain,1162
9,Chile,1146
10,Poland,1118
11,Peru,1106
12,Denmark,1054
13,England,1040
14,Tunisia,1012
15,Mexico,1008
16,Colombia,989
17,Uruguay,976
18,Croatia,975
19,Netherlands,969
20,Italy,947
21,Wales,931
22,Iceland,930
23,Sweden,889
24,United States,880
25,Costa Rica,858
26,Austria,841
27,Northern Ireland,837
28,Senegal,825
29,Slovakia,786
30,Ukraine,777
31,Republic of Ireland,776
32,Romania,737
33,Paraguay,737
34,Scotland,735
35,Serbia,732
36,Iran,727
37,Turkey,714
38,Congo DR,711
39,Venezuela,709
40,Australia,700
41,Bosnia-Herzegovina,688
42,Morocco,681
43,Montenegro,671
44,Greece,657
45,Czech Republic,647
46,Egypt,636
47,Nigeria,635
48,Jamaica,612
49,Norway,608
50,Hungary,604
51,Cameroon,603
52,Ghana,603
53,Burkina Faso,591
54,Bulgaria,583
55,Panama,575
56,Albania,549
57,Bolivia,548
58,Cape Verde Islands,545
59,Honduras,530
60,Japan,528
61,Korea Republic,520
62,Algeria,516
63,Finland,507
64,Ecuador,506
65,Slovenia,495
66,Russia,493
67,Mali,462
68,Côte d'Ivoire,458
69,Guinea,450
70,Saudi Arabia,445
71,Curaçao,439
72,South Africa,433
73,China PR,431
74,Uganda,426
75,Kyrgyzstan,424
76,Syria,423
77,FYR Macedonia,422
78,Zambia,413
79,Belarus,410
80,Canada,407
81,UAE,405
82,Lebanon,404
83,Luxembourg,401
84,Palestine,401
85,El Salvador,392
86,Cyprus,386
87,Oman,383
88,Uzbekistan,381
89,Iraq,381
90,Benin,379
91,Congo,378
92,Trinidad and Tobago,374
93,Gabon,374
94,Estonia,364
95,Faroe Islands,364
96,Georgia,362
97,India,354
98,Armenia,347
99,Israel,347
100,Libya,341
101,Qatar,339
102,Sierra Leone,332
103,Vietnam,331
104,Guinea-Bissau,330
105,Mauritania,323
106,Mozambique,311
107,Namibia,305
108,Haiti,302
109,Niger,299
110,Zimbabwe,295
111,Madagascar,293
112,Korea DPR,292
113,Kenya,289
114,Philippines,289
115,Central African Republic,283
116,Bahrain,281
117,Jordan,272
118,Tajikistan,271
119,Kazakhstan,269
120,Malawi,267
121,Chinese Taipei,263
122,Thailand,253
123,Rwanda,252
124,Antigua and Barbuda,251
125,Yemen,250
126,St. Kitts and Nevis,245
127,Azerbaijan,245
128,Sudan,245
129,Turkmenistan,242
130,Togo,242
131,Swaziland,240
132,Andorra,230
133,New Zealand,229
134,Lithuania,229
135,Myanmar,227
136,Nicaragua,224
137,Tanzania,223
138,Angola,221
139,Latvia,217
140,Guatemala,198
141,Comoros,195
142,Hong Kong,194
143,Afghanistan,194
144,Equatorial Guinea,190
145,Ethiopia,188
146,Burundi,188
147,Maldives,183
148,Botswana,176
149,Dominican Republic,175
150,Lesotho,175
151,Liberia,167
152,Kosovo,164
153,Solomon Islands,162
154,Suriname,140
155,South Sudan,139
156,Vanuatu,136
157,New Caledonia,135
158,Puerto Rico,128
159,Mauritius,122
160,Barbados,118
161,Tahiti,117
162,Indonesia,111
163,Guyana,111
164,Nepal,111
165,Chad,110
166,Fiji,110
167,Belize,107
168,St. Lucia,105
169,Cambodia,105
170,Malaysia,104
171,Grenada,103
172,Singapore,102
173,Moldova,98
174,St. Vincent / Grenadines,95
175,Gambia,94
176,Kuwait,88
177,Dominica,88
178,Bermuda,82
179,Laos,80
180,Papua New Guinea,78
181,Liechtenstein,77
182,Cuba,75
183,Aruba,75
184,Bhutan,68
185,Malta,62
186,Macao,60
187,São Tomé e Príncipe,59
188,Mongolia,51
189,Guam,45
190,Timor-Leste,44
191,American Samoa,38
192,Cook Islands,38
193,Samoa,38
194,Brunei,36
195,Seychelles,36
196,Gibraltar,34
197,Bangladesh,33
198,Djibouti,27
199,US Virgin Islands,18
200,Montserrat,17
201,Sri Lanka,17
202,Turks and Caicos Islands,13
203,Pakistan,10
204,Cayman Islands,8
205,San Marino,8
206,British Virgin Islands,4
207,Anguilla,0
208,Bahamas,0
209,Eritrea,0
210,Somalia,0
211,Tonga,0
